   line             element
   5035.90          Mg IV    
   5035.910         O II     
   5035.915         Ne II    
   5035.925         Ne II    
   5035.943         C II     
   5035.9720        Ni I     
   5035.9918        Ne I     
   5036.1173        Fe I     
   5036.1734        Fe I     
   5036.2132        Ar II    
   5036.2336        Ar II    
   5036.374         Ne II    
   5036.374         Ne II    
   5036.4223        Fe I     
   5036.6055        Fe I     
   5036.7           S I      
   5036.7           S I      
   5036.718         Fe II    
   5036.9           S I      
   5036.9           S I      
   5036.9           S I      
   5037.0           S I      
   5037.0           S I      
   5037.19          Ar I     
   5037.36          Ar I     
   5037.37          O I      
   5037.37          O I      
   5037.51          O I      
   5037.51          O I      
   5037.51          O I      
   5037.55          O I      
   5037.55          O I      
   5037.55          O I      
   5037.5850        Ne I     
   5037.692         Ca I     
   5037.7495        Ne I     
   5037.7527        Fe I     
   5037.762         Ni II    
   5037.77          N IV     
   5037.77          N IV     
   5037.77031       Ar II    
   5037.94          Fe II    
   5037.951         Ca I     
   5038.08          Ar I     
   5038.1           Ca I     
   5038.127         Ca I     
   5038.22          N II     
   5038.22          N II     
   5038.2242        Fe I     
   5038.31          N III    
   5038.38          Al I     
   5038.38          Al I     
   5038.537         Ca I     
   5038.5909        Ni I     
   5038.6           Ar I     
   5038.633         Ni II    
   5038.638         Ni II    
   5038.752         S II     
   5038.752         S II     
   5038.972         Ca I     
   5038.99          Ar I     
   5039.01          O I      
   5039.01          O I      
   5039.01          O I      
   5039.1783        Fe I     
   5039.1852        Fe I     
   5039.212         O II     
   5039.212         O II     
   5039.2515        Fe I     
   5039.3574        Ni I     
   5039.362         S II     
   5039.4994        Fe I     
   5039.6           N I      
   5039.6           N I      
   5039.639         C II     
   5039.66          Ar I     
   5039.751         Ne II    
   5039.7634        Fe I     
   5039.847         Ni II    
   5039.851         Ca I     
   5039.957         Ca I     
   5040.157         Ni II    
   5040.2720        Fe I     
   5040.335         Ni II    
   5040.345         Ni II    
   5040.393         Ca I     
   5040.5000        Ar I     
   5040.62          Ar I     
   5040.709         C II     
   5040.711         N II     
   5040.72          C I      
