      wl    A1  A2  A3
      #microns
       534.42225   0.00043732615   0.00043732615   0.00081382076
       546.69599   0.00042071358   0.00042071358   0.00078333166
       559.25162   0.00040481045   0.00040481045   0.00075466827
       572.09560   0.00039000547   0.00039000547   0.00072700957
       585.23457   0.00037631228   0.00037631228   0.00070054646
       598.67528   0.00036249963   0.00036249963   0.00067487438
       612.42469   0.00034975033   0.00034975033   0.00065112549
       626.48987   0.00033767511   0.00033767511   0.00062835021
       640.87807   0.00032585162   0.00032585162   0.00060641937
       655.59672   0.00031468594   0.00031468594   0.00058505784
       670.65340   0.00030379313   0.00030379313   0.00056598283
       686.05588   0.00029338312   0.00029338312   0.00054630518
       701.81210   0.00028352773   0.00028352773   0.00052803699
       717.93018   0.00027412848   0.00027412848   0.00051025696
       734.41844   0.00026524722   0.00026524722   0.00049349446
       751.28537   0.00025635565   0.00025635565   0.00047771131
       768.53967   0.00024848197   0.00024848197   0.00046296396
       786.19025   0.00024056946   0.00024056946   0.00044813893
       804.24619   0.00023268247   0.00023268247   0.00043352370
       822.71681   0.00022578467   0.00022578467   0.00041967700
       841.61164   0.00021891362   0.00021891362   0.00040687045
       860.94041   0.00021201216   0.00021201216   0.00039404865
       880.71309   0.00020511477   0.00020511477   0.00038217214
       900.93988   0.00019912694   0.00019912694   0.00037038082
       921.63121   0.00019318278   0.00019318278   0.00035954835
       942.79774   0.00018723677   0.00018723677   0.00034871031
       964.45039   0.00018158914   0.00018158914   0.00033788371
       986.60033   0.00017635082   0.00017635082   0.00032805245
       1009.2590   0.00017145684   0.00017145684   0.00031891368
       1032.4380   0.00016642700   0.00016642700   0.00030928100
       1056.1493   0.00016195022   0.00016195022   0.00029995022
       1080.4053   0.00015659912   0.00015659912   0.00029219824
       1105.2183   0.00015263029   0.00015263029   0.00028326058
       1130.6011   0.00014862841   0.00014862841   0.00027525682
       1156.5669   0.00014473884   0.00014473884   0.00026847769
       1183.1291   0.00014067740   0.00014067740   0.00026067741
       1210.3013   0.00013600000   0.00013600000   0.00025362821
       1238.0975   0.00013286280   0.00013286280   0.00024672561
       1266.5321   0.00012899999   0.00012899999   0.00023993348
       1295.6198   0.00012604752   0.00012604752   0.00023404753
       1325.3755   0.00012207806   0.00012207806   0.00022807807
       1355.8146   0.00011914817   0.00011914817   0.00022214818
       1386.9527   0.00011613091   0.00011613091   0.00021613091
       1418.8060   0.00011327425   0.00011327425   0.00021054850
       1451.3908   0.00011028991   0.00011028991   0.00020528991
       1484.7240   0.00010800000   0.00010800000   0.00020036399
       1518.8228   0.00010500000   0.00010500000   0.00019539715
